frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
236,6.0,[894.4631436124453 1523.9509606421182 1655.1530282434035 2112.372940531126],[1144.7078857421875 1870.5025634765625 1389.2943115234375 2000.8817138671875],0.4353330433368683,GX15OGJ,0.3395427310462595
237,6.0,[895.0582475420687 1525.6496563691683 1655.7348524077947 2112.5818406816084],[1125.7542724609375 1873.6773681640625 1389.9110107421875 2024.9217529296875],0.3834672272205353,GX15OCJ,0.3117161045270078
238,6.0,[894.0841220488421 1530.9127364004378 1656.5677826153653 2117.4017713779563],[1101.3167724609375 1877.9483642578125 1371.834228515625 2015.5023193359375],0.41421714425086975,GX15OGJ,0.4252111546551717
238,1.0,[2054.8076257192142 1155.4876550809972 2584.9992345491037 1613.542311861538],[2197.965087890625 1415.9974365234375 2444.817626953125 1535.43310546875],0.2630040645599365,AP05JEO,0.4380054629648349
240,6.0,[884.5629267801376 1538.8856161315314 1652.076928220222 2126.394874742512],[1099.34033203125 1893.313232421875 1364.90673828125 2019.19384765625],0.35397469997406006,GY15OGJ,0.25144668593963104
241,6.0,[881.2098561715248 1539.7412393491757 1651.680077675322 2128.1326272267697],[1099.4576416015625 1893.3216552734375 1364.8807373046875 2019.1788330078125],0.3542773723602295,GY15OGJ,0.25144668593963104
250,6.0,[860.3064970861861 1570.9825533651174 1647.1489454681296 2152.225986753696],[1110.439208984375 1928.583984375 1375.851318359375 2078.70849609375],0.30965882539749146,GY15OGJ,0.5879384333337316
255,1.0,[2050.8840016358185 1187.2595166964534 2596.78619040319 1656.692859771787],[2218.586181640625 1455.0810546875 2459.79931640625 1573.618408203125],0.32997483015060425,AP05JEO,0.34716896586073903
255,6.0,[847.9367307803531 1594.180408222766 1642.8525757811271 2151.5508912905207],[1109.3790283203125 1957.723388671875 1357.474853515625 2094.568359375],0.29979437589645386,GY15OGJ,0.5351642717421837
257,6.0,[841.0900456696513 1603.9963686462925 1640.4667315324555 2151.3208191173676],[1113.7530517578125 1970.5224609375 1363.737060546875 2110.973388671875],0.32886096835136414,GY15OGJ,0.22262187559238703
260,6.0,[835.1956910877271 1610.0618426612632 1641.1184939735135 2147.9134737995996],[1076.2913818359375 1982.96044921875 1339.1138916015625 2117.73046875],0.2841513454914093,GY15OGJ,0.40066861326637865
261,13.0,[2243.2948235774224 1628.7909877187165 2980.2651878337906 2145.460184149494],[2502.41650390625 1962.9986572265625 2757.916748046875 2121.47998046875],0.28507551550865173,LM13VCV,0.22965611094276117
263,6.0,[829.3588549950512 1623.7735784002168 1637.4688310666595 2151.0714091465506],[1058.382568359375 2007.104736328125 1334.197509765625 2137.95703125],0.4330776333808899,GX15OGJ,0.5363605515554085
267,13.0,[2243.7237901313097 1652.087151746494 2984.5929064111965 2147.7597874913718],[2494.1689453125 1997.7716064453125 2747.498291015625 2135.32177734375],0.2909356951713562,LM13VCV,0.3231777582551036
269,1.0,[2043.9302602683808 1212.1449269244572 2605.300090266359 1686.3353972037953],[2232.0263671875 1484.7681884765625 2479.385009765625 1606.9471435546875],0.4051550030708313,AP05JEO,0.1261202672791883
270,13.0,[2242.786906369421 1665.0644109402217 2988.084783036649 2155.355551950928],[2507.051025390625 2016.7215576171875 2752.20361328125 2154.565185546875],0.41286787390708923,LM13VCV,0.3887059414342443
271,13.0,[2243.181712509674 1666.945030577225 2989.2558121074135 2155.3485241502126],[2507.017333984375 2016.6580810546875 2752.08203125 2154.55615234375],0.411481112241745,LM13VCV,0.5228329089195908
273,13.0,[2246.0592155665768 1673.953182160416 2993.3770900610875 2155.971734783531],[2514.568603515625 2030.7755126953125 2746.515625 2155.74560546875],0.4260886609554291,LA13VCV,0.19080396811202016
279,8.0,[1091.636997014924 1126.8410446220244 1602.1331379528756 1569.865358106145],[1216.504150390625 1357.91162109375 1436.0582275390625 1493.7550048828125],0.3478333055973053,KK05ZZK,0.22083193371167922
280,1.0,[2052.582138767654 1232.578401995248 2623.3308906698903 1716.5373781593375],[2240.7509765625 1517.513671875 2472.6943359375 1631.72607421875],0.25619974732398987,AP05JEO,0.4825152525180078
284,8.0,[1080.187563329784 1135.692621191672 1592.0273799421652 1581.2174621258528],[1249.954833984375 1378.2159423828125 1422.1983642578125 1493.9483642578125],0.34906792640686035,KH05ZZK,0.5517495552464252
288,1.0,[2046.5537079194423 1245.950847564779 2633.391072237038 1746.7027347163544],[2205.37744140625 1530.0560302734375 2501.78857421875 1660.758544921875],0.32442983984947205,AP05JEO,0.3783462864863121
290,1.0,[2047.3450089370472 1250.309315588643 2637.1246398813673 1751.9711844705473],[2225.055419921875 1533.0120849609375 2513.259033203125 1663.7054443359375],0.48015260696411133,AP05JEO,0.3769991154711412
291,1.0,[2047.5591001037683 1253.2340740118502 2638.936013848718 1755.815697858257],[2223.243408203125 1522.9610595703125 2509.12158203125 1675.5626220703125],0.4094046652317047,AP05JEO,0.3235249209932813
296,8.0,[1063.5658340080763 1160.1077561454513 1582.782730711509 1612.9035335640547],[1220.233642578125 1410.9573974609375 1409.0472412109375 1519.2730712890625],0.25207966566085815,KH05ZZK,0.4847538606865993
298,1.0,[2049.1452267514724 1267.6667479902767 2648.9439803000105 1777.2860000756027],[2242.7607421875 1557.4097900390625 2516.087890625 1687.4403076171875],0.32623985409736633,AP05JEO,0.29945179844451447
305,8.0,[1052.851512321472 1177.6176499218125 1581.093827532699 1631.4749307386207],[1125.3297119140625 1414.3021240234375 1401.1959228515625 1542.46142578125],0.2681100070476532,KH05ZZK,0.3277475711542142
306,1.0,[2045.2173752539572 1284.4019968487396 2658.1021781117734 1800.0655979874155],[2250.8583984375 1575.938720703125 2512.46484375 1710.058349609375],0.47603872418403625,AP05JEO,0.7946552614838046
307,1.0,[2044.4238048110828 1285.1832338737754 2658.1399711122094 1801.5967844585566],[2250.808837890625 1575.966552734375 2512.528076171875 1710.0693359375],0.47652381658554077,AP05JEO,0.5156158498294062
308,1.0,[2044.631822164577 1285.3147377730984 2661.3827443380114 1803.2459482572913],[2236.02099609375 1583.2664794921875 2515.545654296875 1714.9486083984375],0.543003499507904,AP05JEO,0.6190534283162827
309,1.0,[2045.7635976586535 1286.6729435605769 2664.2769343304262 1805.7532432772266],[2210.796630859375 1568.7642822265625 2537.5146484375 1722.0546875],0.4026276171207428,AP05JEO,0.4132492182082102
311,8.0,[1046.306244436375 1182.1174621367836 1574.8250273640083 1642.7313617142813],[1094.9967041015625 1408.8720703125 1411.8553466796875 1580.6531982421875],0.2506491541862488,KH05ZZK,0.3922261213724638
311,1.0,[2052.1809166443036 1294.856074206105 2677.2151623683885 1813.9276125317774],[2275.514404296875 1590.37939453125 2532.822998046875 1724.701171875],0.2573692202568054,AP05JEO,0.620520934129691
315,1.0,[2054.300341248246 1307.301053073139 2668.544973446218 1827.1367847132],[2252.496826171875 1586.7996826171875 2546.0869140625 1745.8033447265625],0.28216832876205444,AP05JEO,0.38480338216298765
317,1.0,[2045.496658403707 1308.906165613772 2665.3228768718914 1830.0363071641364],[2196.8251953125 1602.08935546875 2525.531005859375 1736.60888671875],0.32740581035614014,AP05JEO,0.24023021564193014
320,1.0,[2052.5753233365253 1313.8827089018498 2671.946147225812 1837.1676070812985],[2281.6357421875 1611.182861328125 2526.75830078125 1741.2646484375],0.2789081335067749,AP05JEO,0.31798037414020575
322,8.0,[1032.6630254087677 1199.6470212235922 1569.3064176512985 1670.0992842930991],[1209.269775390625 1452.0538330078125 1403.4608154296875 1588.1949462890625],0.3087906837463379,KH05ZIK,0.27080193082349996
323,8.0,[1031.5571906110258 1199.4676054288786 1569.4799201092346 1670.6787564671224],[1099.640380859375 1442.718994140625 1389.0582275390625 1592.1829833984375],0.39575663208961487,KH05ZIK,0.45206968912634593
323,1.0,[2053.5202008670926 1323.4151601283747 2670.7537263800127 1849.3896646416651],[2260.68603515625 1614.434326171875 2535.9697265625 1775.8099365234375],0.31001517176628113,AP05JEO,0.24130829844388485
324,1.0,[2049.5119091612505 1325.2456850095678 2671.834126003124 1853.6000336215388],[2221.897705078125 1627.007080078125 2531.11669921875 1768.529296875],0.293039470911026,AP05JEO,0.29613727289925074
325,1.0,[2047.0558211353496 1325.476018042481 2672.906286200348 1855.5176963208282],[2221.155029296875 1626.9169921875 2531.2646484375 1768.5908203125],0.2903378903865814,AP05JEO,0.20410817364462344
326,1.0,[2052.349552189966 1327.7518079386514 2677.8450414459357 1858.8363349571964],[2131.629638671875 1609.6827392578125 2557.355224609375 1781.5360107421875],0.2535736858844757,AP05JEO,0.3864819626636595
327,8.0,[1024.3342979948443 1204.790693507665 1568.981124599928 1678.1986813560459],[1104.6075439453125 1447.4578857421875 1390.8035888671875 1596.5972900390625],0.2936471700668335,KH05ZTK,0.5811757606563204
330,1.0,[2068.462427421615 1336.5092115740958 2687.490118552638 1875.7314805489832],[2203.169921875 1625.8897705078125 2541.014892578125 1787.630859375],0.3180405795574188,AP05JEO,0.254390312951244
331,1.0,[2072.634118308615 1336.831541614305 2688.061427198293 1877.717600490877],[2203.923828125 1625.938232421875 2541.14697265625 1788.0242919921875],0.31781890988349915,AP05JEO,0.2065380029384756
332,1.0,[2066.736693335288 1340.7950946832898 2682.89833341312 1882.5373824393369],[2260.00341796875 1636.1319580078125 2531.268310546875 1787.6209716796875],0.4581548273563385,AP05JEO,0.17516193899184135
333,8.0,[1017.1434133089778 1218.2064891689224 1569.4727812458727 1694.8797495888548],[1130.6231689453125 1479.087646484375 1387.4342041015625 1611.739501953125],0.3246435821056366,KH05ZZK,0.30312510603545967
339,1.0,[2079.5533331636852 1357.1782957200612 2694.7747927867376 1898.1066272271755],[2250.097412109375 1661.088134765625 2546.92236328125 1819.38427734375],0.45950189232826233,AP05JED,0.1844591027953417
340,1.0,[2082.4473055658264 1360.0491774999869 2696.6833562773763 1900.014640701579],[2220.7138671875 1675.3341064453125 2540.256591796875 1809.09814453125],0.490825355052948,AP05JED,0.42011786701187565
341,1.0,[2085.092052009872 1365.3832119653273 2697.491654432573 1903.4917366736179],[2226.898681640625 1675.5604248046875 2539.62890625 1827.2296142578125],0.38364115357398987,AP05JEL,0.10243703983376493
342,8.0,[1007.2814554954964 1243.0993598772989 1562.5040039656535 1721.4087981760586],[1081.9793701171875 1492.427978515625 1386.7158203125 1638.5736083984375],0.36708903312683105,AH05ZZK,0.4701842701659446
342,1.0,[2086.394850782632 1369.6284784347163 2697.927362503979 1908.395555822754],[2259.07275390625 1682.247802734375 2541.970703125 1828.83984375],0.357003778219223,AP05JEL,0.2745097308895035
343,8.0,[1007.2946973496339 1243.6211665851267 1562.3622065879592 1721.3402668692822],[1083.563232421875 1492.548095703125 1386.6663818359375 1638.4798583984375],0.3676173686981201,AH05ZIK,0.4434494456629296
343,1.0,[2086.8021936119203 1371.0534872785986 2697.9238442003916 1910.3004060221626],[2259.0205078125 1682.43603515625 2541.9697265625 1828.83837890625],0.3537592887878418,AP05JEL,0.26481220826904617
345,1.0,[2075.494973355734 1378.0106278559563 2702.1431422063924 1921.148192197317],[2275.88134765625 1687.6173095703125 2556.283935546875 1822.484375],0.271484911441803,AP05JEO,0.6190633522897088
346,1.0,[2077.6498324271565 1379.926794355618 2704.7337581273546 1924.5947614908384],[2219.99658203125 1685.343017578125 2560.218994140625 1836.49658203125],0.28453850746154785,AP05JEO,0.19444014749823024
353,1.0,[2082.744348247543 1404.7267887179478 2711.883035380878 1949.3976695964448],[2223.15234375 1701.8909912109375 2544.088623046875 1868.7879638671875],0.3590116500854492,AP05JEO,0.4199096458956569
353,8.0,[998.9134030755073 1276.4675318694485 1557.72313905486 1748.414470154676],[1050.710693359375 1516.388671875 1387.607666015625 1681.56884765625],0.3015546202659607,KH05ZIK,0.634350174294504
354,1.0,[2086.359711777064 1408.0827479820282 2716.4429550502155 1953.7296429711805],[2171.95556640625 1713.2677001953125 2576.514404296875 1866.64453125],0.28162214159965515,AP05JEO,0.5389040202187982
355,1.0,[2087.7019267229966 1409.0923894365342 2718.4936391688784 1955.4598689611498],[2171.091064453125 1713.189697265625 2576.543701171875 1866.734619140625],0.2820501923561096,AP05JEO,0.5287295074640914
